state,city,url
MS,Southwest Ms,https://natchez.craigslist.org
TX,Southwest Tx,https://bigbend.craigslist.org
VA,Southwest Va,https://swva.craigslist.org
FL,Space Coast,https://spacecoast.craigslist.org
WA,Spokane / Coeur D'Alene,https://spokane.craigslist.org
IL,Springfield,https://springfieldil.craigslist.org
MO,Springfield,https://springfield.craigslist.org
PA,State College,https://pennstate.craigslist.org
GA,Statesboro,https://statesboro.craigslist.org
FL,St Augustine,https://staugustine.craigslist.org
MN,St Cloud,https://stcloud.craigslist.org
UT,St George,https://stgeorge.craigslist.org
OK,Stillwater,https://stillwater.craigslist.org
MO,St Joseph,https://stjoseph.craigslist.org
MO,St Louis,https://stlouis.craigslist.org
CA,Stockton,https://stockton.craigslist.org
CA,Susanville,https://susanville.craigslist.org
NY,Syracuse,https://syracuse.craigslist.org
NM,Tallahassee,https://tallahassee.craigslist.org
FL,Tampa Bay Area,https://tampa.craigslist.org
IN,Terre Haute,https://terrehaute.craigslist.org
TX,Texarkana,https://texarkana.craigslist.org
OK,Texoma,https://texoma.craigslist.org
MI,The Thumb,https://thumb.craigslist.org
OH,Toledo,https://toledo.craigslist.org
KS,Topeka,https://topeka.craigslist.org
FL,Treasure Coast,https://treasure.craigslist.org
TN,Tri-Cities,https://tricities.craigslist.org
AZ,Tucson,https://tucson.craigslist.org
OK,Tulsa,https://tulsa.craigslist.org
AL,Tuscaloosa,https://tuscaloosa.craigslist.org
OH,Tuscarawas Co,https://tuscarawas.craigslist.org
ID,Twin Falls,https://twinfalls.craigslist.org
NY,Twin Tiers Ny/Pa,https://twintiers.craigslist.org
TX,Tyler / East Tx,https://easttexas.craigslist.org
MI,Upper Peninsula,https://up.craigslist.org
NY,Utica-Rome-Oneida,https://utica.craigslist.org
GA,Valdosta,https://valdosta.craigslist.org
CA,Ventura County,https://ventura.craigslist.org
VT,Vermont,https://vermont.craigslist.org
TX,Victoria,https://victoriatx.craigslist.org
CA,Visalia-Tulare,https://visalia.craigslist.org
TX,Waco,https://waco.craigslist.org
DC,Washington,https://washingtondc.craigslist.org
IA,Waterloo / Cedar Falls,https://waterloo.craigslist.org
NY,Watertown,https://watertown.craigslist.org
WI,Wausau,https://wausau.craigslist.org
WA,Wenatchee,https://wenatchee.craigslist.org
IL,Western Il,https://quincy.craigslist.org
KY,Western Ky,https://westky.craigslist.org
MD,Western Maryland,https://westmd.craigslist.org
MA,Western Massachusetts,https://westernmass.craigslist.org
IL,Western Slope,https://westslope.craigslist.org
WV,West Virginia (Old),https://wv.craigslist.org
TX,Wichita Falls,https://wichitafalls.craigslist.org
KS,Wichita,https://wichita.craigslist.org
PA,Williamsport,https://williamsport.craigslist.org
NC,Wilmington,https://wilmington.craigslist.org
VA,Winchester,https://winchester.craigslist.org
NC,Winston-Salem,https://winstonsalem.craigslist.org
MA,Worcester / Central Ma,https://worcester.craigslist.org
WY,Wyoming,https://wyoming.craigslist.org
WA,Yakima,https://yakima.craigslist.org
PA,York,https://york.craigslist.org
OH,Youngstown,https://youngstown.craigslist.org
CA,Yuba-Sutter,https://yubasutter.craigslist.org
AZ,Yuma,https://yuma.craigslist.org
OH,Zanesville / Cambridge,https://zanesville.craigslist.org
